73. la Verneda i la Pau
72. Sant Martí de Provençals
71. Provençals del Poblenou
70. el Besòs i el Maresme
69. Diagonal Mar i el Front Marítim del Poblenou
68. el Poblenou
67. la Vila Olímpica del Poblenou
66. el Parc i la Llacuna del Poblenou
65. el Clot
64. el Camp de l'Arpa del Clot
63. Navas
62. el Congrés i els Indians
61. la Sagrera
60. Sant Andreu
59. el Bon Pastor
58. Baró de Viver
57. la Trinitat Vella
56. Vallbona
55. Ciutat Meridiana
54. Torre Baró
53. la Trinitat Nova
52. la Prosperitat
51. Verdun
50. les Roquetes
49. Canyelles
48. la Guineueta
47. Can Peguera
46. el Turó de la Peira
45. Porta
44. Vilapicina i la Torre Llobeta
43. Horta
42. la Clota
41. la Vall d'Hebron
40. Montbau
39. Sant Genís dels Agudells
38. la Teixonera
37. el Carmel
36. la Font d'en Fargues
35. el Guinardó
34. Can Baró
33. el Baix Guinardó
32. el Camp d'en Grassot i Gràcia Nova
31. la Vila de Gràcia
30. la Salut
29. el Coll
28. Vallcarca i els Penitents
27. el Putxet i el Farró
26. Sant Gervasi - Galvany
25. Sant Gervasi - la Bonanova
24. les Tres Torres
23. Sarrià
22. Vallvidrera&sbquo; el Tibidabo i les Planes
21. Pedralbes
20. la Maternitat i Sant Ramon
19. les Corts
18. Sants
17. Sants - Badal
16. la Bordeta
15. Hostafrancs
14. la Font de la Guatlla
13. la Marina de Port
12. la Marina del Prat Vermell 
11. el Poble Sec 
10. Sant Antoni
9. la Nova Esquerra de l'Eixample
8. l'Antiga Esquerra de l'Eixample
7. la Dreta de l'Eixample
6. la Sagrada Família
5. el Fort Pienc
4. Sant Pere&sbquo; Santa Caterina i la Ribera
3. la Barceloneta
2. el Barri Gòtic
1. el Raval
